paper_id,section,para_idx,sent_start,sent_end,claim_text,receipt_sentence
2212.11831,Abstract,-1,0,132,The hopping matrix element $t$ quantifies the quantum-mechanical coupling between frontier orbitals on a pair of nearby molecules.,The hopping matrix element $t$ quantifies the quantum-mechanical coupling between frontier orbitals on a pair of nearby molecules.
2212.11831,Abstract,-1,133,362,Convenient and generally applicable methods to determine $t$ from DFT calculations are lacking; $t$ can be obtained from coupling-induced energy splittings only if the interacting molecules are identical and symmetrically placed.,Convenient and generally applicable methods to determine $t$ from DFT calculations are lacking; $t$ can be obtained from coupling-induced energy splittings only if the interacting molecules are identical and symmetrically placed.
2212.11831,Abstract,-1,363,665,"We present a simple approach to determine $t$ from DFT results that relies on measuring hybridization, projecting hybridized pair orbitals onto constituent frontier orbitals of the interacting molecules, using spatially discretized wavefunctions (``cube files'') rather than analytical representations.","We present a simple approach to determine $t$ from DFT results that relies on measuring hybridization, projecting hybridized pair orbitals onto constituent frontier orbitals of the interacting molecules, using spatially discretized wavefunctions (``cube files'') rather than analytical representations."
2212.11831,Abstract,-1,666,813,We demonstrate the method by exploring how $t$ depends on the identity and relative placement of typical moieties found in semiconducting polymers.,We demonstrate the method by exploring how $t$ depends on the identity and relative placement of typical moieties found in semiconducting polymers.
2212.11831,Conclusions,94,0,297,"Computing hopping matrix elements for moieties in close proximity is an important part of building tractable models for electronic interactions between such moieties, with applications in modeling carrier transport as well as exciton energetics and polarization in organic semiconductor materials.","Computing hopping matrix elements for moieties in close proximity is an important part of building tractable models for electronic interactions between such moieties, with applications in modeling carrier transport as well as exciton energetics and polarization in organic semiconductor materials."
2212.11831,Conclusions,94,298,661,"Hopping matrix elements can be inferred from the energy level splittings of hybridized frontier orbitals for the interacting pair only in very special cases, for which the molecules are chemically identical and symmetrically placed, leading to bonding and antibonding orbitals that are symmetric and antisymmetric combinations of the constituent monomer orbitals.","Hopping matrix elements can be inferred from the energy level splittings of hybridized frontier orbitals for the interacting pair only in very special cases, for which the molecules are chemically identical and symmetrically placed, leading to bonding and antibonding orbitals that are symmetric and antisymmetric combinations of the constituent monomer orbitals."
2212.11831,Conclusions,95,0,116,"To treat the vast preponderance of cases in which this symmetry is not present, a more versatile method is required.","To treat the vast preponderance of cases in which this symmetry is not present, a more versatile method is required."
2212.11831,Conclusions,95,117,251,"In this work, we present a simple and convenient method to compute hopping matrix elements between any pair of nearby small molecules.","In this work, we present a simple and convenient method to compute hopping matrix elements between any pair of nearby small molecules."
2212.11831,Conclusions,95,252,443,The method relies on computing overlap integrals between the frontier orbitals of the pair and the frontier orbitals of the two interacting molecules that hybridize to form the pair orbitals.,The method relies on computing overlap integrals between the frontier orbitals of the pair and the frontier orbitals of the two interacting molecules that hybridize to form the pair orbitals.
2212.11831,Conclusions,96,0,136,Such overlap integrals can in principle be computed analytically from the set of basis function expansion coefficients for the orbitals.,Such overlap integrals can in principle be computed analytically from the set of basis function expansion coefficients for the orbitals.
2212.11831,Conclusions,96,137,334,"However, commonly available DFT platforms such as Gaussian do not provide utilities for such calculations; code to compute such overlaps is tedious to write and validate, and not readily available.","However, commonly available DFT platforms such as Gaussian do not provide utilities for such calculations; code to compute such overlaps is tedious to write and validate, and not readily available."
2212.11831,Conclusions,96,335,484,"Instead, we compute such overlap integrals numerically using “cube files”, or spatially discretized representations of the pair and monomer orbitals.","Instead, we compute such overlap integrals numerically using “cube files”, or spatially discretized representations of the pair and monomer orbitals."
2212.11831,Conclusions,96,485,587,Such cube files can be readily obtained from utilities supplied with Gaussian and other DFT platforms.,Such cube files can be readily obtained from utilities supplied with Gaussian and other DFT platforms.
2212.11831,Conclusions,96,588,894,"Following this approach, we have created a set of Python and bash shell scripts to compute hopping matrix elements between nearby molecules, and to carry out scans in which one constituent molecule is progressively translated or rotated with respect to the other (see Supplemental Information for details).","Following this approach, we have created a set of Python and bash shell scripts to compute hopping matrix elements between nearby molecules, and to carry out scans in which one constituent molecule is progressively translated or rotated with respect to the other (see Supplemental Information for details)."
2212.11831,Conclusions,97,0,615,"We have validated this Frontier Orbital Numerical Projection method by repeating published results for scans of {{formula:8ca60173-f755-4269-abbd-f89eff69013c}} versus separation between two parallel tetracene molecules (for which energy splitting is sufficient to determine {{formula:92bd29eb-8fe7-4ebd-af4d-a78fe1ffd263}} ), and as well for {{formula:ef7bafc1-cfa4-457a-a858-b92154d7abd6}} versus rotation between two initially parallel ethylene molecules (for which orbital overlaps must be computed to determine {{formula:8a8d9abd-d5e3-4eba-88dd-ece7af63795d}} ); we find good agreement with previous results.","We have validated this Frontier Orbital Numerical Projection method by repeating published results for scans of {{formula:8ca60173-f755-4269-abbd-f89eff69013c}} versus separation between two parallel tetracene molecules (for which energy splitting is sufficient to determine {{formula:92bd29eb-8fe7-4ebd-af4d-a78fe1ffd263}} ), and as well for {{formula:ef7bafc1-cfa4-457a-a858-b92154d7abd6}} versus rotation between two initially parallel ethylene molecules (for which orbital overlaps must be computed to determine {{formula:8a8d9abd-d5e3-4eba-88dd-ece7af63795d}} ); we find good agreement with previous results."
2212.11831,Conclusions,97,616,794,"Then, we demonstrate how the method can be used to explore how hopping matrix elements vary with the chemical identity and relative placement of two molecules in close proximity.","Then, we demonstrate how the method can be used to explore how hopping matrix elements vary with the chemical identity and relative placement of two molecules in close proximity."
2212.11831,Conclusions,97,795,983,We select for our examples moieties that occur in the structure of organic semiconducting polymers and non-fullerene acceptors currently under study for photovoltaic material applications.,We select for our examples moieties that occur in the structure of organic semiconducting polymers and non-fullerene acceptors currently under study for photovoltaic material applications.
2212.11831,Conclusions,98,0,245,"In forthcoming work, we apply our method to explore the dependence of hopping matrix elements on relative placement of moieties extracted from large configurations of semiconducting polymers generated by atomistic molecular dynamics simulations.","In forthcoming work, we apply our method to explore the dependence of hopping matrix elements on relative placement of moieties extracted from large configurations of semiconducting polymers generated by atomistic molecular dynamics simulations."
2212.11831,Conclusions,98,246,508,"Such studies will give insight into the heterogeniety of electronic coupling within these disordered molecular solids, and help us identify those configurations that lead to particularly large or small values of {{formula:b74f9755-2513-4515-867c-ad79cf13d6a9}} .","Such studies will give insight into the heterogeniety of electronic coupling within these disordered molecular solids, and help us identify those configurations that lead to particularly large or small values of {{formula:b74f9755-2513-4515-867c-ad79cf13d6a9}} ."
2212.11808,Abstract,-1,0,100,"Many natural language related applications involve text generation, created by humans or machines.","Many natural language related applications involve text generation, created by humans or machines."
2212.11808,Abstract,-1,101,186,"While in many of those applications machines support humans, yet in few others, (e.g.","While in many of those applications machines support humans, yet in few others, (e.g."
2212.11808,Abstract,-1,187,276,"adversarial machine learning, social bots and trolls) machines try to impersonate humans.","adversarial machine learning, social bots and trolls) machines try to impersonate humans."
