paper_id,section,para_idx,sent_start,sent_end,claim_text,receipt_sentence,is_claim,is_atomic,receipt_ok,notes
2212.11773,Discussion,-1,-1,-1,Reversing the momentum at every frustrated hop is necessary to retain the rigorous connection to the QCLE and to enable systematic improvements using the quantum-jump procedure,"In our derivation of MASH, we have found that the momentum should be reversed at every frustrated hop and that this is necessary in order to retain the rigorous connection to the QCLE and to enable systematic improvements using the quantum-jump procedure",yes,no,yes,Two reasons joined: retain QCLE connection AND enable systematic improvements
2212.11863,Simulation results at different initial conditions,-1,-1,-1,Qualitatively the same results as for an ion with an initial position at the trap centre are obtained for an initial position 10 m from the trap centre along the positive axial direction,Qualitatively the same results as for an ion with an initial position at the trap centre are obtained (compare with figure 5 of the main text),yes,yes,no,Claim adds positional detail ('10 m from trap centre') absent from receipt sentence — LLM synthesised from context
2212.11813,Conclusions,-1,-1,-1,The application uses a novel technology to render the displayed images,"The application uses a novel technology (the mesh shader pipeline) to render the displayed images, which is not yet fully explored in the currently available body of scientific work.",yes,yes,yes,
2212.11802,Abstract,-1,-1,-1,the symmetry of the individual pillars influences the symmetry of these waves,"We here demonstrate how the symmetry of the individual pillars influences the symmetry of these waves, thereby contributing to the understanding of the origin of the waves and opening up for better control of the waves with relevance to applications such as microfluidic sorting and mixing",yes,yes,yes,
2212.11863,Conclusion,-1,-1,-1,Laser cooling of a single cold ion was found to work efficiently in the hybrid trap with laser parameters commonly used for the Doppler cooling of trapped ions in the absence of a magnetic field,Laser cooling of a single cold ion was found to work efficiently in the hybrid trap with laser parameters commonly used for the Doppler cooling of trapped ions in the absence of a -field,yes,yes,yes,Formula placeholder '-field' expected per unarXive encoding
2212.11849,Conclusions,-1,-1,-1,the corresponding single or half precision codes are unstable,"Our results demonstrate that mixing a single or even half precision function evaluation with the double precision corrections allows an accurate and convergent simulation at significant runtime savings, whereas the corresponding single or half precision codes are unstable.",yes,yes,yes,Valid partial extraction of one sub-claim from compound sentence
2212.11874,Results,-1,-1,-1,The ROADM's BST and PRE have been similarly characterized at full spectral load in constant output power mode for different output power values varying the total power of the input C-band spectrum,The ROADM's BST and PRE have been similarly characterized at full spectral load in constant output power mode for different output power values varying the total power of the input C-band spectrum,no,yes,yes,"Method characterisation step, not a scientific claim"
2212.11803,Conclusion,-1,-1,-1,EuclidNets are easily trained in low precision,"Furthermore, in contrast to other efficient architectures that are difficult to train in low precision, EuclideNets are easily trained in low precision.",yes,yes,yes,
2212.11774,Evaluation,-1,-1,-1,BLUiR performs better even when compared against the improved results of BugLocator utilizing bug similarity data,"Even in this case, BLUiR performs better.",yes,yes,no,Claim synthesises 'compared against BugLocator utilizing bug similarity data' not present in receipt sentence
2212.11773,Discussion,-1,-1,-1,MASH will exhibit the most dramatic improvements over spin-LSC in strongly anharmonic systems encountered in photochemistry,"The cases where MASH is expected to exhibit the most dramatic improvements over spin-LSC are in the strongly anharmonic systems encountered in photochemistry, which will be the focus of future work",yes,yes,yes,"Prediction/expectation, not yet confirmed result; 'will exhibit' vs 'is expected to exhibit' in receipt"
2212.11850,Conclusion,-1,-1,-1,"The stealthiness of DYST increases with the robustness, at the expense of throughput.","We also have shown that the stealthiness of DYST increases with the robustness, at the expense of throughput.",yes,yes,yes,
2212.11791,Abstract,-1,-1,-1,The proposed method enables RNN-based language models to maintain similar accuracy as its full-precision counterpart,"The proposed method enables RNN-based language models to run on edge devices with $2	imes$ improvement in runtime, and $4	imes$ reduction in model size while maintaining similar accuracy as its full-precision counterpart.",yes,yes,yes,Partial extraction — one accuracy aspect of multi-part result
2212.11808,Experiments results & analysis,-1,-1,-1,The epochs took about 2 hours each,The epochs took about 2 hours each this way as well,no,yes,yes,"Incidental runtime measurement ('epochs took 2 hours'), not a scientific claim"
2212.11809,Discussion,-1,-1,-1,"all models outperform AZF, particularly when given an extended time to carry out sufficient model calls","In the case of Retro* and Retro*-extended, all models outperform AZF, particularly when given an extended time to carry out sufficient model calls.",yes,yes,no,Drops scope qualifier 'In the case of Retro* and Retro*-extended'; claim overgeneralises finding
2212.11808,Experiment: Models issues and weaknesses,-1,-1,-1,The grouped captioned data set was 55.7% accurate for human detection and 100% for Alpha/Epsilon mutation,"The individually captioned data set was 2.2% accurate for human detection and 100% accurate for Alpha/Epsilon mutation, while the grouped captioned data set was 55.7% accurate for human detection and 100% for Alpha/Epsilon mutation",yes,no,yes,Two performance figures joined: human detection AND Alpha/Epsilon mutation accuracy
2212.11808,Experiments results & analysis,-1,-1,-1,The detector accuracy was about 91%,In total overall the detector accuracy was about 91% and each epoch took 13 hours for a total of 4 epochs or 52 hours total,yes,yes,yes,
2212.11770,Results and Discussion,-1,-1,-1,S-Graphs+ with FLOAM odometry gives the best results in all the experiments,Table. REF  presents the ATE for all baseline methods and our S-Graphs+ in the indoor sequences of the public TIERS dataset . S-Graphs+ with FLOAM odometry gives the best results in all the experiments.,yes,yes,yes,
2212.11773,Abstract,-1,-1,-1,"MASH is rigorously derivable from exact quantum mechanics, as a limit of the quantum-classical Liouville equation (QCLE)","MASH is rigorously derivable from exact quantum mechanics, as a limit of the quantum-classical Liouville equation (QCLE), leading to a unique prescription for momentum rescaling and frustrated hops",yes,yes,yes,
2212.11765,Evaluation of Predicted ESG Rating,-1,-1,-1,three out of four regression models outperform all other models significantly based on the mean difference metric,"Furthermore, it is notable that three out of four regression models outperform all other models significantly based on the mean difference metric, with values of 13.04 and 13.34 compared to values from 15.05 up to 16.44.",yes,yes,yes,
2212.11770,Results and Discussion,-1,-1,-1,S-Graphs+ presents significant error reductions for large environments,"Note that all methods perform similarly for small scenes, but differ as scenes become larger, S-Graphs+ presenting significant error reductions for large environments.",yes,yes,yes,
2212.11886,Conclusion,-1,-1,-1,The optimal weights determined via a fit to the dissipation PDF can reproduce other statistical quantities with UPO statistics,"Encouragingly, the optimal weights determined via a fit to the dissipation PDF are then able to reproduce other statistical quantities with UPO statistics – albeit with obvious gaps",yes,yes,no,Drops 'albeit with obvious gaps' — claim sounds more successful than source states; qualifier removal inflates the finding
2212.11790,Abstract,-1,-1,-1,cross-modal contrastive learning suffers from incorrect normalization of the sum retrieval probabilities of each text or video instance,"In this work, however, we reveal that cross-modal contrastive learning suffers from incorrect normalization of the sum retrieval probabilities of each text or video instance.",yes,yes,yes,
2212.11784,Abstract,-1,-1,-1,"we show that the sum and tensor of two quantitative equational theories correspond to the categorical sum and tensor, respectively, of their effects qua monads","As our main result, we show that the sum and tensor of two quantitative equational theories correspond to the categorical sum (i.e., coproduct) and tensor, respectively, of their effects qua monads",yes,yes,yes,
2212.11808,Experiments results & analysis,-1,-1,-1,"The other operators ranged from 59% accurate to 100% accurate, with human detection being 71%","For this first run, the other operators ranged from 59% accurate to 100% accurate, with human detection being 71%",yes,no,yes,Two figures joined: accuracy range 59-100% AND human detection 71%
2212.11809,Discussion,-1,-1,-1,the alternative single-step models mostly outperform the baseline AZF model,"Across all three experiments (MCTS, Retro*, Retro*-extended), the alternative single-step models mostly outperform the baseline AZF model.",yes,yes,yes,
2212.11802,Abstract,-1,-1,-1,the onset of waves occurs at different Deborah numbers for flow in different directions through the same array,The onset of waves occurs at different Deborah numbers for flow in different directions through the same array,yes,yes,yes,
2212.11850,Conclusion,-1,-1,-1,Our results for this initial work indicate a limited but variable throughput dependent on the number of bits signaled at once.,Our results for this initial work indicate a limited but variable throughput dependent on the number of bits signaled at once.,yes,yes,yes,
2212.11831,Conclusions,-1,-1,-1,We present a simple and convenient method to compute hopping matrix elements between any pair of nearby small molecules,"In this work, we present a simple and convenient method to compute hopping matrix elements between any pair of nearby small molecules.",yes,yes,yes,
2212.11809,Discussion,-1,-1,-1,similar top-k accuracy profiles do not result in the same multi-step results,"Importantly, similar top-k accuracy profiles do not result in the same multi-step results.",yes,yes,yes,
2212.11770,Results and Discussion,-1,-1,-1,S-Graphs+ achieves bigger error reductions for larger scenes due to its better representation,"Note how the baseline errors tend to grow for larger scenes, and how our S-Graphs+ achieves bigger error reductions for larger scenes due to its better representation.",yes,yes,yes,
2212.11802,Abstract,-1,-1,-1,large-scale regular waves form under some conditions,"Furthermore, under some conditions, instead of the chaotic turbulence, large-scale regular waves form, as has been shown for DNA flowing in microfluidic pillar arrays",yes,yes,yes,Drops 'instead of chaotic turbulence' contrast context; core claim preserved but partly decontextualised
2212.11784,Conclusions,-1,-1,-1,"Theorems  and REF assert that the sum and tensor of two quantitative theories corresponds to the categorical sum and tensor, respectively, of their free monads","The key results are Theorems  and REF , asserting that the sum and tensor of two quantitative theories corresponds to the categorical sum and tensor, respectively, of their free monads",yes,yes,yes,
2212.11831,Conclusions,-1,-1,-1,Hopping matrix elements can be inferred from the energy level splittings of hybridized frontier orbitals for the interacting pair only in very special cases,"Hopping matrix elements can be inferred from the energy level splittings of hybridized frontier orbitals for the interacting pair only in very special cases, for which the molecules are chemically identical and symmetrically placed, leading to bonding and antibonding orbitals that are symmetric and antisymmetric combinations of the constituent monomer orbitals.",yes,yes,yes,
2212.11808,Preliminary Results,-1,-1,-1,The original detector without mutations had a recall of over 97% detection of synthetic and human text in-distribution,The original detector without mutations had a recall of over 97% detection of synthetic and human text in-distribution,yes,yes,yes,
2212.11790,Conclusion,-1,-1,-1,NCL consistently reduces the normalization errors,Empirical studies show that NCL consistently reduces the normalization errors and brings significant gains in state-of-the-art text-video retrieval performance without any architecture engineering.,yes,yes,yes,
2212.11809,Discussion,-1,-1,-1,single-step model inference times can greatly affect performance in multi-step retrosynthesis planning,"For example, given that search algorithms generally have a limited run-time, single-step model inference times can greatly affect performance in multi-step retrosynthesis planning.",yes,yes,yes,
2212.11850,Abstract,-1,-1,-1,Only a negligible fraction of the covert communication process requires the transfer of actual covert channel information.,Only a negligible fraction of the covert communication process requires the transfer of actual covert channel information.,yes,yes,yes,
2212.11802,Abstract,-1,-1,-1,the onset of waves leads to an increase in flow rate for a given driving pressure,"Because the onset of waves leads to an increase in flow rate for a given driving pressure, we observe an increase in diodicity within this range",yes,yes,yes,
2212.11813,Abstract,-1,-1,-1,FieldView uses a novel way of evaluation of the field and construction of the displayed elements directly on the GPU,FieldView uses a novel way of evaluation of the field and construction of the displayed elements directly on the GPU which is based on the recently introduced mesh shader graphics pipeline by NVIDIA.,yes,yes,yes,
2212.11809,Discussion,-1,-1,-1,exclusively focusing on the top-1 accuracy of single-step models is especially problematic when transferring the model to a multi-step domain,Exclusively focusing on the top-1 accuracy of single-step models is especially problematic when transferring the model to a multi-step domain.,yes,yes,yes,
2212.11765,Evaluation of Predicted ESG Rating,-1,-1,-1,the deep CNN regression model is the best performing model over the analysed periods,"The prediction results for the years 2018 and 2019 shown in eval2018 and eval2019, respectively, paint a similar picture. Also here, we notice that the classification models perform worse than the regression models in 2018 and 2019, too. The deep CNN regression model is the best performing model over the analysed periods, outperforming all other models in the remaining two years.",yes,yes,yes,
2212.11790,Abstract,-1,-1,-1,"many test instances are either over- or under-represented during retrieval, significantly hurting the retrieval performance","Specifically, we show that many test instances are either over- or under-represented during retrieval, significantly hurting the retrieval performance.",yes,yes,yes,
2212.11863,Assumed experimental setup,-1,-1,-1,"The magnetic-field exhibits gradients  T/m,  T/m, and  T/m with respect to the trap centre","The -field exhibits gradients  T/m,  T/m, and  T/m with respect to the trap centre",no,yes,yes,"Experimental setup parameter (field gradient values), not a scientific claim"
2212.11791,Abstract,-1,-1,-1,The proposed method enables RNN-based language models to run on edge devices with $4	imes$ reduction in model size,"The proposed method enables RNN-based language models to run on edge devices with $2	imes$ improvement in runtime, and $4	imes$ reduction in model size while maintaining similar accuracy as its full-precision counterpart.",yes,yes,yes,Partial extraction; same source sentence as rows 12 and 82 — duplicate issue
2212.11790,Abstract,-1,-1,-1,NCL brings consistent and significant gains in text-video retrieval on different model architectures,"Empirical study shows that NCL brings consistent and significant gains in text-video retrieval on different model architectures, with new state-of-the-art multimodal retrieval metrics on the ActivityNet, MSVD, and MSR-VTT datasets without any architecture engineering.",yes,yes,yes,
2212.11773,Abstract,-1,-1,-1,"MASH consistently produces more accurate results than FSSH, at a comparable computational cost","We apply MASH to simulate the nonadiabatic dynamics in various model systems and show that it consistently produces more accurate results than FSSH, at a comparable computational cost",yes,yes,yes,
2212.11863,Simulation results at different initial conditions,-1,-1,-1,Laser cooling is also possible at higher initial temperatures but more time is required,"Laser cooling is also possible at higher initial temperatures but, not surprisingly, more time is required",yes,yes,yes,
2212.11809,Discussion,-1,-1,-1,MHNreact and Chemformer have the highest search times and lowest model calls across all experiments,"This effect is evident in MHNreact and Chemformer, the models with the highest search times and lowest model calls across all experiments.",yes,no,yes,Two attributes joined: highest search times AND lowest model calls across experiments
2212.11770,Results and Discussion,-1,-1,-1,S-Graphs+ generates a precise map due to the improved wall plane segmentation and improved rooms-wall planes constraints,"Similarly, observe the precise map generated by S-Graphs+ in Fig. REF  for experiment C2F0 when comparing with S-Graphs, mainly due to the improved wall plane segmentation and improved rooms-wall planes constraints.",yes,yes,yes,
2212.11849,Conclusions,-1,-1,-1,the explicit corrections are needed and are beneficial for sufficiently small time-step,"Recalling that order is an asymptotic property, we verified that these explicit corrections are needed and are beneficial for sufficiently small time-step.",yes,yes,yes,
2212.11874,Abstract,-1,-1,-1,The reliability of the optical control decoupled by the data plane functioning is experimentally demonstrated,The reliability of the optical control decoupled by the data plane functioning is experimentally demonstrated exploiting GNPy as open lightpath computation engine and software optical amplifier models derived from the component characterization,,,,
2212.11765,Evaluation by Market Capitalization,-1,-1,-1,the models make significantly better predictions for smaller compared to larger companies,Considering the mean absolute difference between the Asset4 ESG and the predicted ratings shown in eval19capreg we notice that the models make significantly better predictions for smaller compared to larger companies.,,,,
2212.11849,Conclusions,-1,-1,-1,the explicit corrections improve the perturbation order,"The results presented confirm that the mixed precision Runge-Kutta methods display the expected perturbation order, and that the explicit corrections do, as designed, improve the perturbation order.",,,,
2212.11850,Discussion,-1,-1,-1,"A throughput-optimized version of DYST, with fewer bits signaled at once, may be detected as the share of signals in total traffic will be higher and is significant for the detection.","However, under certain conditions a throughput-optimized version of DYST, with fewer bits signaled at once, may be detected as the share of signals in total traffic will be higher and is significant for the detection.",,,,
2212.11850,Evaluation of Different Covert Channel Configurations,-1,-1,-1,The KS-test performed comparable.,"Similarly, the KS-test performed comparable.",,,,
2212.11809,Discussion,-1,-1,-1,MHNreact and LocalRetro have a similar top-k accuracy profile in single-step retrosynthesis but differ greatly in multi-step retrosynthesis planning,"For example, MHNreact and LocalRetro have a similar top-k accuracy profile in single-step retrosynthesis but differ greatly in multi-step retrosynthesis planning.",,,,
2212.11886,Conclusion,-1,-1,-1,A steady improvement is observed in the reproduction of the statistics as more states are converged,"Most importantly, a steady improvement is observed in the reproduction of the statistics at {{formula:678839bf-348b-40c4-9ada-67f85592e1bc}}  as we have converged more states, and it is likely that this trend will continue and should be verified at {{formula:9473315f-aa0a-4a9a-b34f-447d6d32ebca}}",,,,
2212.11803,Abstract,-1,-1,-1,EuclidNet exhibits the same performance compared to the deep learning models designed with multiplication operations under various transformations and noise scenarios,"Furthermore, we show that under various transformations and noise scenarios, EuclidNet exhibits the same performance compared to the deep learning models designed with multiplication operations.",,,,
2212.11813,Conclusions,-1,-1,-1,FieldView can be used by students and lecturers as a visual aid during study of the topic of vector fields,FieldView can be used by students and lecturers as a visual aid during study of the topic of vector fields.,,,,
2212.11826,Abstract,-1,-1,-1,Our approach generalizes the notion of Quantum Neural Tangent Kernel,"In this paper, we introduce the Quantum Path Kernel, a formulation of quantum machine learning capable of replicating those aspects of deep machine learning typically associated with superior generalization performance in the classical domain, specifically, hierarchical feature learning. Our approach generalizes the notion of Quantum Neural Tangent Kernel, which has been used to study the dynamics of classical and quantum machine learning models.",,,,
2212.11784,Conclusions,-1,-1,-1,we claim that these correspond in a suitable way to Garner's weak distributive law,"Following an intuition similar to Cheng , we claim that these correspond in a suitable way to Garner's weak distributive law",,,,
2212.11850,Conclusion,-1,-1,-1,We have shown that traditional heuristics used in network covert channel research are unable to provide satisfying results.,We also analyzed the detectability of DYST and have shown that traditional heuristics used in network covert channel research are unable to provide satisfying results.,,,,
2212.11863,Conclusion,-1,-1,-1,The ion motion starts to increasingly sample linear magnetic-field gradients rather than a quadrupolar magnetic-field configuration if slight displacements between the centres of the ion trap and of the quadrupolar magnetic field are introduced,"If slight displacements between the centres of the ion trap and of the quadrupolar magnetic field are introduced, as can be expected to be the case in real experimental implementations, the ion motion starts to increasingly sample linear -field gradients rather than a quadrupolar -field configuration",,,,
2212.11808,Experiments results & analysis,-1,-1,-1,The most inaccurate operator overall was always the delete articles operator,The most inaccurate operator overall was always the delete articles operator,,,,
2212.11770,Results and Discussion,-1,-1,-1,S-Graphs+ has a higher degree of accuracy and cleaner map elements,"Observe the higher degree of accuracy and cleaner map elements in the S-Graphs+ case, the latest indicating a better alignment for different robot passes.",,,,
